InstitutionName,RD2017,Citations,Patents
Colby-Sawyer College,0,#N/A,#N/A
Dartmouth College,308445,1761778,221
University of New Hampshire,145375,620921,36
Keene State College,908,#N/A,#N/A
Plymouth State University,1131,#N/A,#N/A
Drew University,0,1715,#N/A
Fairleigh Dickinson University,643,11733,1
Rowan University,12856,175559,1
New Jersey City University,5442,1239,#N/A
Kean University,558,32356,#N/A
Monmouth University,899,12206,#N/A
Montclair State University,5796,140069,#N/A
New Jersey Institute of Technology,142164,563698,183
Princeton University,326207,#N/A,536
Ramapo College of New Jersey,383,3519,#N/A
Rider University,1565,8210,#N/A
"Rutgers, The State University of New Jersey",0,#N/A,#N/A
Seton Hall University,7272,#N/A,4
Stevens Institute of Technology,35144,294386,69
Stockton University,1237,#N/A,#N/A
"College of New Jersey, The",1078,#N/A,#N/A
William Paterson University of New Jersey,#N/A,23055,#N/A
Eastern New Mexico University,492,#N/A,#N/A
New Mexico Highlands University,1023,#N/A,5
New Mexico Institute of Mining and Technology,20491,#N/A,35
University of New Mexico,#N/A,1431491,363
New Mexico State University,106020,423824,40
Western New Mexico University,421,#N/A,#N/A
Adelphi University,347,51739,3
Albany Medical College,20443,37621,39
Alfred University,3231,1732,41
Bank Street College of Education,0,#N/A,#N/A
Bard College,228,12744,#N/A
Barnard College,3730,#N/A,#N/A
Canisius College,1546,6022,#N/A
Clarkson University,15148,166672,11
Colgate University,3414,49628,#N/A
Columbia University in the City of New York,893062,#N/A,#N/A
Cornell University,984478,5766836,1366
Daemen College,0,#N/A,2
Dowling College,0,#N/A,2
Fordham University,20807,281293,42
Hamilton College,2354,8190,#N/A
Hofstra University,1702,57898,#N/A
Iona College,166,#N/A,#N/A
Ithaca College,887,30948,#N/A
Le Moyne College,#N/A,5223,#N/A
Long Island University,2290,36287,2
Manhattan College,897,16920,2
Marist College,692,3557,#N/A
Mercy College,0,#N/A,#N/A
Icahn School of Medicine at Mount Sinai,#N/A,21612,#N/A
The New School,#N/A,65997,#N/A
New York Chiropractic College,348,#N/A,1
New York Law School,233,#N/A,#N/A
New York Medical College,15637,50551,27
New York University,917744,4316647,833
Niagara University,1823,#N/A,#N/A
New York Institute of Technology,3236,47422,55
Pace University,5028,68972,2
Polytechnic Institute of New York University,0,#N/A,41
Rochester Institute of Technology,51263,420504,54
University of Rochester,353003,1394675,433
Rockefeller University,#N/A,558110,469
St. Bonaventure University,651,#N/A,#N/A
St. Lawrence University,639,#N/A,#N/A
Sarah Lawrence College,0,#N/A,#N/A
Siena College,1425,5834,1
Skidmore College,1859,10949,#N/A
Saint John Fisher College,#N/A,7873,#N/A
Syracuse University,145705,#N/A,123
Touro College,679,2813,1
Union Graduate College,0,#N/A,#N/A
United States Military Academy,13617,#N/A,#N/A
Utica College,370,#N/A,#N/A
Vassar College,1600,14928,#N/A
Yeshiva University,3258,652470,245
Appalachian State University,4475,131849,2
Davidson College,1736,7103,#N/A
Duke University,1126924,#N/A,750
East Carolina University,26117,#N/A,51
Elizabeth City State University,1340,#N/A,#N/A
Elon University,2407,24926,#N/A
Fayetteville State University,5105,8564,#N/A
High Point University,#N/A,9160,#N/A
North Carolina Central University,14119,20623,4
North Carolina State University,500445,2332110,721
Shaw University,0,#N/A,1
Wake Forest University,182227,278268,177
Winston-Salem State University,1575,#N/A,#N/A
Western Carolina University,1474,38463,#N/A
Dickinson State University,0,#N/A,#N/A
Mayville State University,262,#N/A,#N/A
Minot State University,436,#N/A,#N/A
University of North Dakota,102823,144506,55
North Dakota State University,153119,315507,82
Sitting Bull College,0,#N/A,#N/A
Turtle Mountain Community College,0,#N/A,#N/A
Valley City State University,0,#N/A,#N/A
Air Force Institute of Technology,35733,34594,#N/A
University of Akron,#N/A,426532,294
Ashland University,0,2281,#N/A
Bowling Green State University,14333,#N/A,24
Case Western Reserve University,408609,#N/A,343
Central State University,2008,#N/A,#N/A
University of Cincinnati,455250,1531695,234
Cleveland State University,83762,153630,41
University of Dayton,135214,200010,140
Denison University,0,10726,#N/A
Heidelberg University,1621,#N/A,#N/A
John Carroll University,367,6195,#N/A
Kent State University,42003,#N/A,115
Kenyon College,1057,2311,#N/A
Miami University,17239,#N/A,23
Northeast Ohio Medical University,19216,#N/A,#N/A
Oberlin College,1887,22693,#N/A
Ohio Northern University,399,#N/A,2
Ohio State University,#N/A,3145126,696
Ohio Wesleyan University,405,#N/A,#N/A
University of Toledo,#N/A,496976,171
Wilberforce University,0,#N/A,#N/A
Wittenberg University,270,#N/A,#N/A
Wright State University,59379,228184,64
Youngstown State University,4439,10124,#N/A
University of Central Oklahoma,5832,6798,#N/A
East Central University,493,#N/A,#N/A
Langston University,11543,#N/A,#N/A
Northeastern State University,475,#N/A,#N/A
Oklahoma State University,191478,#N/A,120
University of Oklahoma,#N/A,940584,306
Southeastern Oklahoma State University,0,#N/A,#N/A
Southwestern Oklahoma State University,274,#N/A,#N/A
University of Tulsa,20879,114578,21
Eastern Oregon University,493,#N/A,#N/A
Lewis & Clark College,3438,8948,4
Linfield College,249,#N/A,#N/A
Oregon Health & Science University,348449,1373645,#N/A
Oregon Institute of Technology,4159,#N/A,#N/A
Oregon State University,267068,1871273,153
University of Oregon,95974,1561803,62
Pacific University,7770,#N/A,#N/A
Portland State University,48964,598334,24
University of Portland,934,4250,5
Reed College,1415,17150,#N/A
Southern Oregon University,776,1191,#N/A
Willamette University,3147,10277,#N/A
Western Oregon University,464,1482,#N/A
University of Western States,564,#N/A,#N/A
Allegheny College,1243,#N/A,#N/A
Arcadia University,566,1252,#N/A
Bloomsburg University of Pennsylvania,797,3787,#N/A
Bryn Mawr College,11146,3839,4
Bucknell University,4437,87097,#N/A
California University of Pennsylvania,0,#N/A,#N/A
Carnegie Mellon University,328100,4125831,#N/A
Chatham University,#N/A,1102,#N/A
Cheyney University of Pennsylvania,370,#N/A,#N/A
Clarion University of Pennsylvania,0,#N/A,#N/A
Dickinson College,869,8226,#N/A
Drexel University,138577,#N/A,203
Duquesne University,17197,149168,#N/A
East Stroudsburg University of Pennsylvania,324,#N/A,#N/A
Edinboro University of Pennsylvania,0,#N/A,#N/A
Elizabethtown College,0,#N/A,#N/A
Franklin and Marshall College,#N/A,#N/A,1
Gannon University,424,#N/A,#N/A
Gettysburg College,1318,7685,#N/A
Haverford College,2442,10410,#N/A
Indiana University of Pennsylvania,1307,#N/A,#N/A
Juniata College,421,#N/A,#N/A
Kutztown University of Pennsylvania,463,#N/A,#N/A
La Salle University,898,6760,#N/A
Lafayette College,1831,20642,#N/A
Lehigh University,36969,705611,91
Lock Haven University of Pennsylvania,#N/A,#N/A,1
Lycoming College,0,#N/A,#N/A
Marywood University,0,#N/A,#N/A
Messiah College,267,#N/A,#N/A
Millersville University of Pennsylvania,673,#N/A,#N/A
Moravian College,184,#N/A,#N/A
Muhlenberg College,721,#N/A,#N/A
Salus University,1566,#N/A,#N/A
Pennsylvania State University,#N/A,4040475,642
University of Pennsylvania,1374293,#N/A,1054
The University of the Arts,#N/A,#N/A,1
Philadelphia College of Osteopathic Medicine,2969,#N/A,2
Robert Morris University,#N/A,8445,#N/A
Saint Francis University,0,#N/A,1
Saint Joseph's University,2409,34772,#N/A
University of Scranton,314,9818,7
Shippensburg University of Pennsylvania,727,6940,#N/A
Slippery Rock University of Pennsylvania,0,#N/A,#N/A
Susquehanna University,971,#N/A,#N/A
Swarthmore College,3569,29805,#N/A
Temple University,268385,1854409,219
Thomas Jefferson University,142569,#N/A,365
Ursinus College,982,#N/A,#N/A
Villanova University,19037,223801,7
Washington & Jefferson College,0,#N/A,#N/A
West Chester University of Pennsylvania,7293,33129,#N/A
Widener University,541,12084,1
Wilkes University,598,1554,#N/A
Brown University,212290,2922621,211
Bryant University,316,7279,#N/A
Providence College,1014,6688,#N/A
Rhode Island College,9030,2269,#N/A
University of Rhode Island,101871,604339,32
Rhode Island School of Design,1086,#N/A,#N/A
Roger Williams University,2952,4142,#N/A
Salve Regina University,283,#N/A,#N/A
Benedict College,1676,#N/A,#N/A
College of Charleston,8927,95794,#N/A
Claflin University,1360,#N/A,1
Clemson University,193268,1001805,250
Converse College,175,#N/A,#N/A
Erskine College,#N/A,#N/A,1
Francis Marion University,202,#N/A,#N/A
Furman University,2051,7823,#N/A
Medical University of South Carolina,262267,708423,57
Coastal Carolina University,1893,14688,#N/A
South Carolina State University,14300,#N/A,#N/A
Winthrop University,1826,1805,#N/A
Black Hills State University,2109,#N/A,#N/A
Dakota State University,2284,#N/A,#N/A
Dakota Wesleyan University,240,#N/A,#N/A
Oglala Lakota College,659,#N/A,#N/A
South Dakota School of Mines and Technology,#N/A,#N/A,24
South Dakota State University,63412,141478,4
Sinte Gleska University,0,#N/A,#N/A
University of South Dakota,#N/A,72466,#N/A
Austin Peay State University,2134,1419,#N/A
Belmont University,#N/A,5757,#N/A
Christian Brothers University,0,#N/A,#N/A
East Tennessee State University,9493,68683,5
Fisk University,5017,#N/A,#N/A
LeMoyne-Owen College,0,#N/A,#N/A
Meharry Medical College,16782,1442,3
University of Memphis,#N/A,#N/A,14
Middle Tennessee State University,4714,68648,#N/A
Rhodes College,0,7147,#N/A
Southern College of Optometry,272,#N/A,1
Tennessee State University,18108,19152,#N/A
Tennessee Technological University,12079,30364,3
Vanderbilt University,#N/A,3658239,383
Abilene Christian University,634,2966,#N/A
Angelo State University,807,#N/A,#N/A
Austin College,365,#N/A,#N/A
Texas A&M Health Science Center,0,#N/A,#N/A
Baylor University,29400,431034,386
University of Dallas,0,1741,#N/A
University of Houston,169431,1669638,162
University of the Incarnate Word,1911,#N/A,#N/A
Jarvis Christian College,0,#N/A,#N/A
Lamar University,3883,33343,#N/A
Texas A&M International University,4745,3110,#N/A
LeTourneau University,805,#N/A,#N/A
Midwestern State University,874,#N/A,#N/A
University of North Texas,#N/A,#N/A,39
Rice University,167277,2308728,#N/A
St. Edward's University,10149,#N/A,#N/A
Sam Houston State University,3658,89172,3
Southern Methodist University,29879,517082,30
Southwestern University,446,1391,#N/A
Stephen F Austin State University,#N/A,6762,#N/A
Texas State University,60741,316258,1
Sul Ross State University,2500,#N/A,#N/A
Tarleton State University,10893,7667,#N/A
Texas Christian University,7255,187298,5
Texas Lutheran University,259,#N/A,2
Texas Southern University,4722,21737,#N/A
Texas Tech University,191482,746687,61
Texas Woman's University,4073,22122,#N/A
Trinity University,3274,#N/A,3
University of Texas Health Science Center Houston,#N/A,#N/A,2
Texas Tech University Health Sciences Center,#N/A,#N/A,13
Wayland Baptist University,#N/A,#N/A,1
West Texas A&M University,4943,3157,#N/A
Wiley College,0,#N/A,#N/A
Brigham Young University,43406,964871,171
Southern Utah University,657,5004,#N/A
Utah State University,187314,752547,126
Utah Valley University,348,14900,#N/A
University of Utah,#N/A,3019944,852
Weber State University,907,57465,4
Green Mountain College,0,#N/A,#N/A
Middlebury College,2043,28324,#N/A
Norwich University,878,#N/A,#N/A
University of Vermont,118298,990100,102
College of William and Mary,64127,#N/A,18
Regent University,0,1551,#N/A
Christopher Newport University,1264,#N/A,1
Eastern Virginia Medical School,28671,10119,42
Eastern Mennonite University,257,#N/A,#N/A
Ferrum College,0,#N/A,#N/A
George Mason University,112404,1402265,23
Hampton University,16482,2484,10
James Madison University,3248,110745,6
Liberty University,850,7448,#N/A
University of Mary Washington,1308,4707,#N/A
Norfolk State University,7296,1412,#N/A
Old Dominion University,67990,571045,23
Radford University,653,7558,#N/A
University of Richmond,3106,62426,#N/A
Roanoke College,539,#N/A,7
Shenandoah University,#N/A,1275,#N/A
Sweet Briar College,0,#N/A,#N/A
Virginia Polytechnic Institute and State University,522425,2202302,361
Virginia Commonwealth University,235464,#N/A,146
University of Virginia,469682,3282887,403
Virginia Military Institute,534,1872,#N/A
Virginia State University,10725,2112,1
Washington and Lee University,0,#N/A,#N/A
Central Washington University,3798,11124,#N/A
Eastern Washington University,2000,6074,2
Gonzaga University,618,23281,#N/A
Bastyr University,464,#N/A,#N/A
Pacific Lutheran University,238,2623,#N/A
University of Puget Sound,902,7202,#N/A
Seattle Pacific University,996,10008,#N/A
Seattle University,1623,40075,#N/A
Washington State University,356901,#N/A,171
University of Washington,0,3175307,857
Western Washington University,13014,164040,3
Whitman College,818,1050,#N/A
Whitworth University,792,#N/A,#N/A
Mountain State University,0,#N/A,#N/A
Bluefield State College,458,#N/A,#N/A
Concord University,0,#N/A,#N/A
Fairmont State University,0,#N/A,#N/A
Marshall University,18348,62879,#N/A
Shepherd University,490,#N/A,#N/A
West Virginia School of Osteopathic Medicine,369,#N/A,#N/A
West Virginia State University,6305,#N/A,#N/A
West Liberty University,0,#N/A,#N/A
West Virginia Wesleyan College,0,#N/A,#N/A
West Virginia University,185606,792406,65
Alverno College,213,#N/A,1
Beloit College,289,#N/A,7
Carthage College,0,#N/A,#N/A
Lawrence University,378,#N/A,#N/A
Marquette University,30034,202957,17
Medical College of Wisconsin,209618,524159,64
Milwaukee School of Engineering,3374,1187,8
University of Wyoming,125032,504298,92
American Samoa Community College,975,#N/A,#N/A
