InstitutionName,RDRank,PatentsRank,ResearchRank,NationalRank,RanktoCost,RanktoCostRank
Salisbury University,190,174,2473,360,13.93157895,211
Touro College,240,252,3173,360,14.27083333,212
Mississippi State University,53,86,694,173,14.71698113,213
Florida Agricultural and Mechanical University,127,149,1739,330,14.86614173,214
Connecticut College,223,244,3079,360,14.90134529,215
Kettering University,200,202,2830,332,15.16,216
Cleveland State University,99,113,1442,294,15.70707071,217
Ferris State University,239,251,3763,360,16.79497908,218
Alfred University,211,114,3472,360,16.99526066,219
University of Louisiana at Monroe,215,206,3511,360,17.28837209,220
Spelman College,220,176,3644,360,17.36363636,221
University of Dayton,85,73,1418,238,17.54117647,222
Bryn Mawr College,179,187,2978,360,17.68156425,223
Morehouse School of Medicine,129,147,2183,360,18.0620155,224
Milwaukee School of Engineering,206,164,3687,360,18.69417476,225
Tuskegee University,163,211,2918,360,19.19631902,226
Jacksonville State University,205,241,3722,360,19.33170732,227
Virginia State University,181,236,3346,360,19.79005525,228
Delaware State University,150,232,2759,360,19.94,229
Wichita State University,100,159,1836,342,19.95,230
Meharry Medical College,162,196,3569,360,23.24074074,231
Uniformed Services University of the Health Sciences,44,229,796,195,23.29545455,232
