InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
Franklin and Marshall College,#N/A,0,#N/A,1,256,#N/A,#N/A
Franklin W. Olin College of Engineering,1553,366,#N/A,#N/A,0,#N/A,#N/A
Frostburg State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Furman University,2051,331,7823,#N/A,0,#N/A,#N/A
Gallaudet University,7603,219,2953,#N/A,0,#N/A,#N/A
Gannon University,424,522,#N/A,#N/A,0,#N/A,#N/A
George Mason University,112404,90,1402265,23,134,471,128
"George Washington University, The",245519,47,#N/A,#N/A,0,#N/A,#N/A
Georgetown University,212319,55,#N/A,201,56,313,76
Georgia College & State University,#N/A,0,7677,#N/A,0,#N/A,#N/A
Georgia Gwinnett College,492,507,3596,#N/A,0,#N/A,#N/A
Georgia Health Sciences University,0,0,#N/A,51,105,#N/A,#N/A
Georgia Southern University,16084,174,134343,#N/A,0,1480,301
Georgia State University,200171,59,1208199,28,124,490,143
Gettysburg College,1318,387,7685,#N/A,0,-,349
Gonzaga University,618,478,23281,#N/A,0,#N/A,#N/A
Gordon College,0,0,#N/A,#N/A,0,#N/A,#N/A
Gordon-Conwell Theological Seminary,150,595,#N/A,#N/A,0,#N/A,#N/A
Goucher College,336,551,#N/A,#N/A,0,#N/A,#N/A
Governors State University,655,468,#N/A,#N/A,0,#N/A,#N/A
Grambling State University,5911,240,#N/A,#N/A,0,#N/A,#N/A
Grand Canyon University,#N/A,0,3190,#N/A,0,#N/A,#N/A
Grand Valley State University,6917,229,84736,2,211,#N/A,#N/A
Green Mountain College,0,0,#N/A,#N/A,0,#N/A,#N/A
Grinnell College,4953,253,8195,#N/A,0,-,275
Gustavus Adolphus College,641,474,1077,#N/A,0,#N/A,#N/A
Hamilton College,2354,312,8190,#N/A,0,-,322
Hamline University,0,0,#N/A,#N/A,0,#N/A,#N/A
Hampshire College,585,485,#N/A,1,239,#N/A,#N/A
Hampton University,16482,172,2484,10,153,1224,265
Harding University,187,587,#N/A,#N/A,0,#N/A,#N/A
Hartford Seminary,420,525,#N/A,#N/A,0,#N/A,#N/A
Harvard University,1123160,4,#N/A,849,10,1,1
Harvey Mudd College,3748,271,18673,3,191,#N/A,#N/A
Haskell Indian Nations University,0,0,#N/A,#N/A,0,#N/A,#N/A
Haverford College,2442,308,10410,#N/A,0,1879,156
Hawaii Pacific University,2175,323,#N/A,#N/A,0,#N/A,#N/A
Heidelberg University,1621,359,#N/A,#N/A,0,58,4
Hendrix College,480,511,#N/A,#N/A,0,#N/A,#N/A
High Point University,#N/A,0,9160,#N/A,0,#N/A,#N/A
Hofstra University,1702,355,57898,#N/A,0,1105,252
Hope College,3225,290,9115,#N/A,0,#N/A,#N/A
Howard University,45768,121,94698,18,138,1053,239
Hult International Business School,1014,409,1422,#N/A,0,#N/A,#N/A
Humboldt State University,15969,175,29808,#N/A,0,#N/A,#N/A
Icahn School of Medicine at Mount Sinai,#N/A,0,21612,#N/A,0,112,64
Idaho State University,18564,162,164146,7,162,1584,317
Illinois College of Optometry,329,553,#N/A,#N/A,0,#N/A,#N/A
Illinois Institute of Technology,32659,136,463970,112,79,797,149
Illinois State University,20080,158,#N/A,6,169,1367,282
Illinois Wesleyan University,0,0,1967,#N/A,0,#N/A,#N/A
Indiana State University,1284,390,20512,1,232,#N/A,#N/A
Indiana University Bloomington,#N/A,0,2091863,#N/A,0,118,52
Indiana University Northwest,#N/A,0,1331,#N/A,0,#N/A,#N/A
Indiana University of Pennsylvania,1307,389,#N/A,#N/A,0,#N/A,#N/A
Indiana Wesleyan University,615,479,#N/A,#N/A,0,#N/A,#N/A
International Technological University,695,458,#N/A,#N/A,0,#N/A,#N/A
Iona College,166,593,#N/A,#N/A,0,#N/A,#N/A
Ithaca College,887,430,30948,#N/A,0,#N/A,#N/A
Jackson State University,22790,146,34452,4,182,1490,302
Jacksonville State University,3380,280,1094,1,225,#N/A,#N/A
